Date,Open Price,High Price,Low Price,Close_Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
01-Oct-19,1335,1342.5,1293.8,1305.05,1318.564544,360415,12100,475230440,64437,17.88,48.7,-29.95
30-Sep-19,1310,1336,1305.8,1332.6,1322.030308,449676,15970,594485301,139994,31.13,30.2,22.6
27-Sep-19,1293.8,1314.9,1284,1308.75,1307.68741,444521,14551,581294515,102892,23.15,30.9,14.95
26-Sep-19,1290,1298.7,1283.45,1296.6,1292.357781,488106,11735,630807587,226622,46.43,15.25,6.6
25-Sep-19,1281,1295.45,1269.35,1279.8,1285.03568,416620,11835,535371565,85987,20.64,26.1,-1.2
24-Sep-19,1243,1298.55,1242.05,1278.55,1283.240879,960949,29712,1233129039,218304,22.72,56.5,35.55
23-Sep-19,1278,1280.85,1233.2,1238.65,1248.74228,757163,22433,945501451,171257,22.62,47.65,-39.35
20-Sep-19,1186.6,1269.5,1174.6,1254.4,1236.379657,1076465,31967,1330919428,271475,25.22,94.9,67.8
19-Sep-19,1207,1209.35,1173.25,1178.7,1188.691767,349304,12272,415214789,99071,28.36,36.1,-28.3
18-Sep-19,1204.85,1216.1,1197.6,1205.7,1206.15709,298269,10750,359759269,67706,22.7,18.5,0.85
17-Sep-19,1214.8,1214.8,1193.7,1197.2,1201.895088,234035,7990,281285517,61283,26.19,21.1,-17.6
16-Sep-19,1191,1218.15,1188.5,1210.8,1205.850422,366945,12722,442480783,64066,17.46,29.65,19.8
13-Sep-19,1214.7,1228.25,1207.05,1225.55,1217.018065,547909,10103,666815151,331212,60.45,21.2,10.85
12-Sep-19,1238,1239.6,1206.35,1210.35,1221.600539,251041,7713,306671821,60720,24.19,33.25,-27.65
11-Sep-19,1222.7,1239.95,1222.7,1234.1,1233.735744,206849,8132,255197005,45877,22.18,17.25,11.4
09-Sep-19,1222,1232.75,1213.2,1222.1,1224.495936,278530,12879,341058853,57476,20.64,19.55,0.1
06-Sep-19,1205,1229,1196.25,1222.5,1216.211781,519895,15453,632302424,121957,23.46,32.75,17.5
05-Sep-19,1208,1213.75,1193.2,1198.3,1202.471062,503380,12110,605299883,166099,33,20.55,-9.7
04-Sep-19,1200,1204.9,1185.5,1201.55,1195.947298,517321,12746,618688652,186290,36.01,19.4,1.55
03-Sep-19,1240,1243.05,1200,1205.9,1223.706053,328171,11177,401584839,101770,31.01,43.05,-34.1
30-Aug-19,1247,1254,1220.85,1248.35,1236.844742,680248,17323,841361162,286588,42.13,33.15,1.35
29-Aug-19,1257.95,1260,1235.5,1242.2,1250.313979,397297,9906,496745993,162338,40.86,24.5,-15.75
28-Aug-19,1276,1280.5,1256.85,1263.05,1265.27143,260137,8595,329143914,71510,27.49,23.65,-12.95
27-Aug-19,1283,1283.9,1261.8,1275.1,1271.0205,350824,11806,445904496,107905,30.76,22.1,-7.9
26-Aug-19,1294,1294,1259.7,1265.9,1274.719995,323755,10133,412696972,70210,21.69,34.3,-28.1
23-Aug-19,1243,1283.9,1226.8,1275.95,1257.657285,513210,14360,645442295,116560,22.71,57.1,32.95
22-Aug-19,1271,1271.05,1239.05,1246.5,1251.809231,403122,10685,504631841,115952,28.76,32,-24.5
21-Aug-19,1277.4,1278.4,1266.65,1270.8,1271.296138,233087,7841,296322603,69090,29.64,11.75,-6.6
20-Aug-19,1294,1294,1272.85,1276,1280.325881,291530,9667,373253404,70232,24.09,21.15,-18
